Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,values_0,values_1,values_2,values_3
1742326663.0015075,14336,1742326663,865735,crazy08/base_link,54348.0,42462.0,49340.0,36918.0
1742326663.0110054,14337,1742326663,10307162,crazy08/base_link,53722.0,42144.0,50876.0,36326.0
1742326663.022098,14338,1742326663,21487262,crazy08/base_link,52197.0,42453.0,50399.0,36911.0
1742326663.0309315,14339,1742326663,30303775,crazy08/base_link,53559.0,41481.0,50301.0,37195.0
1742326663.0412564,14340,1742326663,40581090,crazy08/base_link,53405.0,42643.0,49363.0,37125.0
1742326663.0519679,14341,1742326663,51290987,crazy08/base_link,54827.0,42695.0,49639.0,36535.0
1742326663.0605156,14342,1742326663,59853612,crazy08/base_link,54726.0,42892.0,48766.0,37312.0
1742326663.071175,14343,1742326663,70501113,crazy08/base_link,54798.0,41746.0,48900.0,36900.0
1742326663.0813925,14344,1742326663,80739968,crazy08/base_link,55504.0,42328.0,47394.0,37458.0
1742326663.0911407,14345,1742326663,90472277,crazy08/base_link,55922.0,43516.0,48402.0,35220.0
1742326663.1013024,14346,1742326663,100649054,crazy08/base_link,55381.0,43203.0,48035.0,36441.0
1742326663.111786,14347,1742326663,111146897,crazy08/base_link,55950.0,42458.0,48660.0,36460.0
1742326663.1208708,14348,1742326663,120261673,crazy08/base_link,54892.0,42624.0,49400.0,36612.0
1742326663.1306398,14349,1742326663,130027449,crazy08/base_link,49131.0,36551.0,47325.0,34065.0
1742326663.1442642,14350,1742326663,143616869,crazy08/base_link,49706.0,39444.0,47964.0,33586.0
1742326663.1506047,14351,1742326663,150000645,crazy08/base_link,54986.0,44076.0,52216.0,37858.0
1742326663.1608195,14352,1742326663,160204140,crazy08/base_link,53131.0,44853.0,53583.0,37569.0
1742326663.1713207,14353,1742326663,170695941,crazy08/base_link,53541.0,44339.0,53541.0,37111.0
1742326663.1805716,14354,1742326663,179956223,crazy08/base_link,52712.0,43732.0,53848.0,38240.0
1742326663.1905968,14355,1742326663,189915458,crazy08/base_link,51855.0,42799.0,53255.0,36951.0
1742326663.2011437,14356,1742326663,200476757,crazy08/base_link,50775.0,43679.0,54007.0,36255.0
1742326663.2108521,14357,1742326663,210190068,crazy08/base_link,52492.0,42182.0,52650.0,37392.0
1742326663.2212222,14358,1742326663,220559047,crazy08/base_link,51474.0,42324.0,53522.0,37092.0
1742326663.2307963,14359,1742326663,230170894,crazy08/base_link,52230.0,41382.0,52304.0,36952.0
1742326663.2403312,14360,1742326663,239754166,crazy08/base_link,52522.0,42664.0,52694.0,36360.0
1742326663.2508576,14361,1742326663,250205238,crazy08/base_link,52783.0,43207.0,52301.0,35949.0
1742326663.2615263,14362,1742326663,260827114,crazy08/base_link,53301.0,44171.0,52151.0,35285.0
1742326663.2808034,14363,1742326663,280138610,crazy08/base_link,54047.0,43547.0,51165.0,35201.0
1742326663.2910483,14364,1742326663,290459718,crazy08/base_link,54323.0,43431.0,50949.0,35257.0
1742326663.3010104,14365,1742326663,300291455,crazy08/base_link,55462.0,41428.0,49960.0,36710.0
1742326663.3105826,14366,1742326663,309917891,crazy08/base_link,16874.0,3462.0,30738.0,28926.0
1742326663.3208683,14367,1742326663,320240333,crazy08/base_link,17488.0,3710.0,30922.0,27880.0
1742326663.330498,14368,1742326663,329805061,crazy08/base_link,16759.0,31409.0,20633.0,11199.0
1742326663.341391,14369,1742326663,340448555,crazy08/base_link,21244.0,27552.0,17070.0,14134.0
1742326663.3522396,14370,1742326663,351124868,crazy08/base_link,19733.0,28345.0,15969.0,15953.0
1742326663.3607187,14371,1742326663,359673052,crazy08/base_link,22945.0,26871.0,15837.0,14347.0
1742326663.3713667,14372,1742326663,370214022,crazy08/base_link,20515.0,28067.0,13823.0,17595.0
1742326663.3838077,14373,1742326663,383057625,crazy08/base_link,22332.0,24912.0,16644.0,16112.0
1742326663.3904006,14374,1742326663,389609351,crazy08/base_link,17531.0,27263.0,15241.0,19965.0
1742326663.4011545,14375,1742326663,400413360,crazy08/base_link,20266.0,22286.0,19036.0,18412.0
1742326663.4110937,14376,1742326663,410092204,crazy08/base_link,14342.0,24750.0,17232.0,23676.0
1742326663.421468,14377,1742326663,420343130,crazy08/base_link,17523.0,18203.0,22163.0,22111.0
1742326663.433464,14378,1742326663,432650139,crazy08/base_link,11992.0,23008.0,18446.0,26554.0
1742326663.4406028,14379,1742326663,439552844,crazy08/base_link,15807.0,16285.0,24801.0,23107.0
1742326663.45124,14380,1742326663,450483768,crazy08/base_link,10607.0,21753.0,19339.0,28301.0
1742326663.4615371,14381,1742326663,460676098,crazy08/base_link,15681.0,15801.0,25861.0,22657.0
1742326663.472456,14382,1742326663,471619319,crazy08/base_link,10900.0,22114.0,18726.0,28260.0
1742326663.482068,14383,1742326663,481142105,crazy08/base_link,16791.0,15797.0,26069.0,21343.0
1742326663.490408,14384,1742326663,489703367,crazy08/base_link,10987.0,24537.0,18261.0,26215.0
1742326663.5015342,14385,1742326663,500945431,crazy08/base_link,19328.0,17526.0,24526.0,18620.0
1742326663.5101128,14386,1742326663,509429330,crazy08/base_link,13105.0,26977.0,15771.0,24147.0
1742326663.5212374,14387,1742326663,520526743,crazy08/base_link,59637.0,55253.0,65535.0,30159.0
1742326663.53214,14388,1742326663,530757749,crazy08/base_link,56398.0,59300.0,54768.0,42690.0
1742326663.5404413,14389,1742326663,539755373,crazy08/base_link,65535.0,48662.0,59442.0,35488.0
1742326663.5600588,14390,1742326663,559351090,crazy08/base_link,65535.0,47322.0,60838.0,39092.0
1742326663.570326,14391,1742326663,569634468,crazy08/base_link,64716.0,53822.0,53538.0,46476.0
1742326663.5810573,14392,1742326663,580411677,crazy08/base_link,65535.0,49471.0,62133.0,39601.0
1742326663.5922737,14393,1742326663,591615791,crazy08/base_link,65535.0,57519.0,58153.0,46589.0
1742326663.6013818,14394,1742326663,600655335,crazy08/base_link,65535.0,50221.0,65351.0,39669.0
1742326663.6102052,14395,1742326663,609454606,crazy08/base_link,65364.0,55928.0,62302.0,47278.0
1742326663.6220274,14396,1742326663,621185252,crazy08/base_link,65535.0,49727.0,65535.0,40425.0
1742326663.6304712,14397,1742326663,629791226,crazy08/base_link,65053.0,54451.0,65535.0,48667.0
1742326663.6411095,14398,1742326663,640404024,crazy08/base_link,65535.0,48453.0,65535.0,41221.0
1742326663.6516192,14399,1742326663,650987502,crazy08/base_link,61660.0,55406.0,65535.0,46972.0
1742326663.6604855,14400,1742326663,659774677,crazy08/base_link,65535.0,50506.0,65535.0,38916.0
1742326663.67038,14401,1742326663,669638270,crazy08/base_link,61416.0,54778.0,65535.0,44904.0
1742326663.6914704,14402,1742326663,690808851,crazy08/base_link,55868.0,47350.0,65535.0,51344.0
1742326663.7003057,14403,1742326663,699367906,crazy08/base_link,65535.0,43900.0,42442.0,43900.0
1742326663.711314,14404,1742326663,710691608,crazy08/base_link,30971.0,62089.0,65535.0,55467.0
1742326663.7209966,14405,1742326663,720332013,crazy08/base_link,65535.0,60647.0,52615.0,54957.0
1742326663.7318144,14406,1742326663,730929402,crazy08/base_link,59280.0,57664.0,65484.0,55848.0
1742326663.7405686,14407,1742326663,739905169,crazy08/base_link,58021.0,52455.0,50729.0,43651.0
1742326663.7511811,14408,1742326663,750537784,crazy08/base_link,48916.0,48520.0,56080.0,41124.0
1742326663.759649,14409,1742326663,758934348,crazy08/base_link,50306.0,47524.0,54458.0,38868.0
1742326663.7699966,14410,1742326663,769187967,crazy08/base_link,51408.0,48828.0,53542.0,37378.0
1742326663.7806704,14411,1742326663,779980122,crazy08/base_link,49093.0,48263.0,55495.0,34753.0
1742326663.7912848,14412,1742326663,790602736,crazy08/base_link,50261.0,49095.0,53565.0,34683.0
1742326663.7999578,14413,1742326663,799239335,crazy08/base_link,48449.0,46429.0,54135.0,34199.0
1742326663.8104942,14414,1742326663,809806184,crazy08/base_link,47786.0,44990.0,53442.0,35230.0
1742326663.8218837,14415,1742326663,821111045,crazy08/base_link,50874.0,44392.0,50882.0,35300.0
1742326663.8327744,14416,1742326663,832090330,crazy08/base_link,52149.0,43739.0,49277.0,36647.0
1742326663.8414884,14417,1742326663,840843640,crazy08/base_link,51044.0,42234.0,48580.0,35826.0
1742326663.8503568,14418,1742326663,849522837,crazy08/base_link,52293.0,41803.0,47603.0,35985.0
1742326663.8610222,14419,1742326663,860306626,crazy08/base_link,52686.0,38760.0,46208.0,37514.0
1742326663.8734262,14420,1742326663,872738041,crazy08/base_link,53090.0,38582.0,46190.0,37306.0
1742326663.8805869,14421,1742326663,879911811,crazy08/base_link,53916.0,39112.0,44254.0,35862.0
1742326663.8914423,14422,1742326663,890762041,crazy08/base_link,52949.0,38279.0,45919.0,36529.0
1742326663.900963,14423,1742326663,900136909,crazy08/base_link,53883.0,36995.0,44729.0,38069.0
1742326663.910061,14424,1742326663,909220281,crazy08/base_link,48234.0,35022.0,49056.0,37340.0
1742326663.9212182,14425,1742326663,920535393,crazy08/base_link,50978.0,36732.0,46190.0,35752.0
1742326663.9301782,14426,1742326663,929542739,crazy08/base_link,50237.0,37755.0,47005.0,34035.0
1742326663.9421456,14427,1742326663,940907009,crazy08/base_link,48590.0,39074.0,47960.0,33408.0
1742326663.9506228,14428,1742326663,949919703,crazy08/base_link,45359.0,41139.0,51701.0,29693.0
1742326663.96085,14429,1742326663,960145647,crazy08/base_link,46859.0,40429.0,49537.0,31067.0
1742326663.969802,14430,1742326663,969061984,crazy08/base_link,45605.0,38071.0,47845.0,28551.0
1742326663.9804552,14431,1742326663,979782788,crazy08/base_link,45105.0,40225.0,49835.0,29315.0
1742326663.991126,14432,1742326663,990485020,crazy08/base_link,46977.0,39015.0,49019.0,29469.0
1742326664.0001218,14433,1742326663,999450247,crazy08/base_link,48618.0,40270.0,48330.0,31850.0
1742326664.0110345,14434,1742326664,10334675,crazy08/base_link,51457.0,37227.0,46911.0,33473.0
1742326664.0204334,14435,1742326664,19740077,crazy08/base_link,49276.0,39344.0,47526.0,32922.0
1742326664.0500314,14436,1742326664,49360722,crazy08/base_link,50945.0,36479.0,48095.0,33549.0
1742326664.0596948,14437,1742326664,58919066,crazy08/base_link,22809.0,16587.0,21775.0,18829.0
1742326664.0715978,14438,1742326664,70883651,crazy08/base_link,40154.0,32746.0,29996.0,11112.0
1742326664.0802186,14439,1742326664,79504301,crazy08/base_link,39843.0,32211.0,30033.0,11921.0
1742326664.090914,14440,1742326664,90198018,crazy08/base_link,33369.0,19029.0,32023.0,20279.0
1742326664.1014807,14441,1742326664,100784933,crazy08/base_link,45516.0,20492.0,42680.0,41208.0
1742326664.1101792,14442,1742326664,109457020,crazy08/base_link,43898.0,26612.0,45210.0,34176.0
1742326664.1214352,14443,1742326664,120736928,crazy08/base_link,45411.0,30995.0,50483.0,39259.0
1742326664.1301322,14444,1742326664,129490790,crazy08/base_link,46370.0,31860.0,51112.0,36806.0
1742326664.1414027,14445,1742326664,140704349,crazy08/base_link,46090.0,34146.0,49704.0,35192.0
1742326664.1514134,14446,1742326664,150254391,crazy08/base_link,47665.0,34853.0,49265.0,32921.0
1742326664.1599479,14447,1742326664,159245716,crazy08/base_link,46491.0,37285.0,49119.0,31885.0
1742326664.1701791,14448,1742326664,169381234,crazy08/base_link,48233.0,38081.0,48589.0,29877.0
1742326664.1810236,14449,1742326664,180333807,crazy08/base_link,48267.0,41241.0,48389.0,29307.0
1742326664.190116,14450,1742326664,189226682,crazy08/base_link,49374.0,41134.0,49372.0,28184.0
1742326664.2003667,14451,1742326664,199689785,crazy08/base_link,49918.0,42280.0,47052.0,28814.0
1742326664.211142,14452,1742326664,210509275,crazy08/base_link,56024.0,36266.0,43656.0,34138.0
1742326664.2204802,14453,1742326664,219821270,crazy08/base_link,51341.0,40807.0,45973.0,31283.0
1742326664.230986,14454,1742326664,230274809,crazy08/base_link,51225.0,38657.0,48091.0,31431.0
1742326664.2402112,14455,1742326664,239470078,crazy08/base_link,52145.0,37173.0,46241.0,36353.0
1742326664.250965,14456,1742326664,250271684,crazy08/base_link,51307.0,36937.0,49217.0,34451.0
1742326664.2600865,14457,1742326664,259222443,crazy08/base_link,48742.0,37256.0,48812.0,35758.0
1742326664.2718008,14458,1742326664,271093741,crazy08/base_link,50897.0,37001.0,50561.0,35273.0
1742326664.2807686,14459,1742326664,280068020,crazy08/base_link,50014.0,37002.0,48710.0,37970.0
1742326664.2893038,14460,1742326664,288627546,crazy08/base_link,49742.0,36862.0,51302.0,35790.0
1742326664.300336,14461,1742326664,299648067,crazy08/base_link,49295.0,38913.0,49333.0,35791.0
1742326664.3109128,14462,1742326664,310200724,crazy08/base_link,49733.0,38485.0,51189.0,33925.0
1742326664.3204308,14463,1742326664,319739680,crazy08/base_link,50514.0,41580.0,47818.0,34188.0
1742326664.3312225,14464,1742326664,330511033,crazy08/base_link,49381.0,41271.0,51909.0,31539.0
1742326664.350197,14465,1742326664,349567337,crazy08/base_link,51591.0,40819.0,50493.0,32741.0
1742326664.3605351,14466,1742326664,359925879,crazy08/base_link,50301.0,41823.0,48285.0,35235.0
1742326664.380248,14467,1742326664,379502758,crazy08/base_link,50459.0,41639.0,48439.0,35315.0
1742326664.3905954,14468,1742326664,389894825,crazy08/base_link,52708.0,39786.0,49324.0,34034.0
1742326664.3995593,14469,1742326664,398856345,crazy08/base_link,50690.0,38756.0,48844.0,38406.0
1742326664.4104548,14470,1742326664,409687744,crazy08/base_link,53494.0,38768.0,48974.0,35460.0
1742326664.4202073,14471,1742326664,419513551,crazy08/base_link,51784.0,39044.0,47796.0,37952.0
1742326664.4309728,14472,1742326664,430314788,crazy08/base_link,53787.0,40453.0,49327.0,33801.0
1742326664.4394665,14473,1742326664,438781781,crazy08/base_link,51982.0,40962.0,47988.0,36436.0
1742326664.4503086,14474,1742326664,449617602,crazy08/base_link,54714.0,40116.0,48770.0,34760.0
1742326664.460587,14475,1742326664,459885518,crazy08/base_link,52512.0,41612.0,48096.0,36140.0
1742326664.4703116,14476,1742326664,469586694,crazy08/base_link,52934.0,41314.0,50730.0,33858.0
1742326664.481262,14477,1742326664,480610814,crazy08/base_link,51286.0,42358.0,49294.0,36002.0
1742326664.4900649,14478,1742326664,489216608,crazy08/base_link,52784.0,41412.0,50664.0,34080.0
1742326664.5010595,14479,1742326664,500373401,crazy08/base_link,51426.0,43664.0,49300.0,35586.0
1742326664.5104668,14480,1742326664,509656137,crazy08/base_link,52693.0,41647.0,51391.0,34349.0
1742326664.5219703,14481,1742326664,521188374,crazy08/base_link,51813.0,39679.0,49621.0,39971.0
1742326664.5309713,14482,1742326664,530238917,crazy08/base_link,54048.0,40278.0,50652.0,36106.0
1742326664.539606,14483,1742326664,538923114,crazy08/base_link,49942.0,39704.0,47088.0,35462.0
1742326664.550777,14484,1742326664,550040735,crazy08/base_link,54448.0,39914.0,50772.0,36902.0
1742326664.5594778,14485,1742326664,558780876,crazy08/base_link,53463.0,43325.0,49287.0,36833.0
1742326664.5700045,14486,1742326664,569365607,crazy08/base_link,54743.0,40345.0,50673.0,37147.0
1742326664.5813003,14487,1742326664,580583833,crazy08/base_link,54355.0,42413.0,47987.0,37661.0
1742326664.5904868,14488,1742326664,589790339,crazy08/base_link,55624.0,41340.0,49820.0,36024.0
1742326664.6012914,14489,1742326664,600607773,crazy08/base_link,54626.0,42636.0,48126.0,37420.0
1742326664.6101437,14490,1742326664,609465923,crazy08/base_link,54608.0,42318.0,50962.0,35184.0
1742326664.6215036,14491,1742326664,620834242,crazy08/base_link,53622.0,43022.0,48976.0,37124.0
1742326664.6302195,14492,1742326664,629521726,crazy08/base_link,54335.0,41685.0,50967.0,35757.0
1742326664.640931,14493,1742326664,640258379,crazy08/base_link,52368.0,41884.0,49918.0,38838.0
1742326664.6499727,14494,1742326664,649174594,crazy08/base_link,54644.0,42458.0,51134.0,35944.0
1742326664.6609702,14495,1742326664,660260558,crazy08/base_link,51414.0,44100.0,50760.0,36778.0
1742326664.6704082,14496,1742326664,669634951,crazy08/base_link,53725.0,42013.0,51463.0,35851.0
1742326664.6794095,14497,1742326664,678718121,crazy08/base_link,52566.0,44528.0,50080.0,36602.0
1742326664.6915717,14498,1742326664,690803169,crazy08/base_link,53533.0,42489.0,52327.0,36451.0
1742326664.7006037,14499,1742326664,699959749,crazy08/base_link,52221.0,43355.0,51023.0,38201.0
1742326664.7094328,14500,1742326664,708744451,crazy08/base_link,53052.0,42394.0,52656.0,35978.0
1742326664.720538,14501,1742326664,719808616,crazy08/base_link,52006.0,43124.0,51242.0,37708.0
1742326664.7298553,14502,1742326664,728719975,crazy08/base_link,52915.0,41721.0,53463.0,37121.0
1742326664.74013,14503,1742326664,739300388,crazy08/base_link,51868.0,42596.0,52314.0,38366.0
1742326664.7506194,14504,1742326664,749864638,crazy08/base_link,53238.0,39100.0,53410.0,39424.0
1742326664.759464,14505,1742326664,758673521,crazy08/base_link,53147.0,41553.0,51453.0,39019.0
1742326664.7700658,14506,1742326664,769425867,crazy08/base_link,54210.0,41606.0,52026.0,36030.0
1742326664.780598,14507,1742326664,779907052,crazy08/base_link,53101.0,42761.0,50841.0,37169.0
1742326664.789516,14508,1742326664,788789193,crazy08/base_link,54243.0,42163.0,52009.0,35845.0
1742326664.8104408,14509,1742326664,809829538,crazy08/base_link,55454.0,42144.0,51246.0,36376.0
1742326664.820025,14510,1742326664,819369948,crazy08/base_link,54885.0,43707.0,50357.0,37699.0
1742326664.8306825,14511,1742326664,830014544,crazy08/base_link,56264.0,42506.0,51204.0,36674.0
1742326664.8395975,14512,1742326664,838925940,crazy08/base_link,53810.0,42756.0,50210.0,38412.0
1742326664.8508904,14513,1742326664,850121530,crazy08/base_link,56767.0,42301.0,50197.0,36951.0
1742326664.8612676,14514,1742326664,859357508,crazy08/base_link,53278.0,42040.0,50886.0,39376.0
1742326664.8714194,14515,1742326664,870660500,crazy08/base_link,53337.0,42053.0,53049.0,37141.0
